position,age,market_value,country_from,club_from,country_to,club_to,fee
Centre-Forward,30,8,England,Watford FC,Turkey,Fenerbahce SK,free transfer
Left Winger,20,8,England,Norwich City,Netherlands,Twente Enschede FC,loan transfer
Centre-Back,22,8,Italy,Inter Milan,Netherlands,AZ Alkmaar,loan transfer
Right-Back,24,8,France,Olympique Marseille,Spain,Elche CF,loan transfer
Right Winger,22,8,Germany,Eintracht Frankfurt,Belgium,KAA Gent,loan transfer
Attacking Midfield,20,8,Spain,Real Madrid,Spain,Girona FC,loan transfer
Central Midfield,18,8,England,Brighton & Hove Albion,Netherlands,Vitesse Arnhem,loan transfer
Goalkeeper,22,8,Italy,Atalanta BC,Italy,US Cremonese,loan transfer
Centre-Forward,26,8,Spain,Sevilla FC,Spain,Getafe CF,free transfer
Left Winger,20,8,Spain,FC Barcelona,Spain,CA Osasuna,loan transfer
Centre-Forward,28,7,Italy,SS Lazio,Spain,RCD Mallorca,7
Defensive Midfield,22,4,Croatia,GNK Dinamo Zagreb,Germany,VfL Wolfsburg,7
Left Winger,23,7,Portugal,SL Benfica,Scotland,Celtic FC,7
Centre-Back,24,7,Italy,Hellas Verona,Italy,SS Lazio,7
Right Winger,21,7,Spain,Real Madrid,Spain,Real Sociedad,6
Attacking Midfield,24,7,Russia,Spartak Moscow,Netherlands,PSV Eindhoven,3
Central Midfield,27,7,Germany,1.FC Union Berlin,Germany,TSG 1899 Hoffenheim,free transfer
Left Midfield,30,7,Saudi Arabia,Al-Ahli Saudi FC,Turkey,Fenerbahce SK,loan transfer
Attacking Midfield,30,7,Spain,Real Madrid,Spain,Sevilla FC,free transfer
Central Midfield,25,7,Turkey,Galatasaray A.S.,United Arab Emirates,Al-Ittihad Kalba SC,loan transfer
Central Midfield,21,4,Netherlands,FC Utrecht,Netherlands,Feyenoord Rotterdam,7
Centre-Back,24,7,England,Tottenham Hotspur,Scotland,Celtic FC,7
Centre-Back,21,5,Monaco,AS Monaco,Austria,Red Bull Salzburg,7
Centre-Back,22,7,Italy,Atalanta BC,Italy,US Salernitana 1919,7
Centre-Forward,26,7,Qatar,Al-Arabi SC,Saudi Arabia,Al-Shabab Club (Riyadh),7
Centre-Back,21,6,Germany,FC Schalke 04,Italy,AC Milan,7
Left Winger,20,7,Brazil,Clube de Regatas do Flamengo,Spain,UD Almería,7
Left Winger,22,7,Portugal,Gil Vicente FC,Spain,Atlético de Madrid,6
Attacking Midfield,24,7,Argentina,CA River Plate,Russia,CSKA Moscow,6
Centre-Forward,26,7,Switzerland,BSC Young Boys,Germany,1.FC Union Berlin,6
Central Midfield,23,7,Argentina,CA Banfield,Brazil,São Paulo Futebol Clube,6
Centre-Back,28,7,France,Olympique Marseille,Turkey,Fenerbahce SK,5
Centre-Back,33,7,Qatar,Al-Duhail SC,Belgium,Royal Antwerp FC,4
Centre-Forward,29,7,France,FC Girondins Bordeaux,England,Nottingham Forest,4
Right Winger,19,7,Brazil,São Paulo Futebol Clube,England,Arsenal FC,3
Right-Back,22,7,Italy,Cagliari Calcio,Italy,Inter Milan,3
Defensive Midfield,29,7,Brazil,Clube de Regatas do Flamengo,Turkey,Fenerbahce SK,3
Central Midfield,26,7,Italy,UC Sampdoria,Germany,1.FC Union Berlin,3
Left Winger,26,7,Belgium,KRC Genk,Spain,Cádiz CF,3
Right Winger,25,7,Italy,SSC Napoli,France,LOSC Lille,3
Defensive Midfield,26,7,Russia,Rubin Kazan,Scotland,Celtic FC,1
Right-Back,22,7,France,FC Girondins Bordeaux,Italy,Cagliari Calcio,0.7
Centre-Back,23,7,Portugal,FC Porto,Germany,1.FC Union Berlin,0.5
Left-Back,25,7,France,RC Strasbourg Alsace,Germany,1.FSV Mainz 05,free transfer
Central Midfield,27,7,England,Reading FC,England,West Bromwich Albion,free transfer
Centre-Back,20,7,England,Manchester City U21,England,Burnley FC,loan transfer
Central Midfield,26,7,Italy,Inter Milan,Italy,AC Monza,loan transfer
Centre-Forward,21,7,Italy,Inter Milan,Italy,FC Empoli,loan transfer
Right-Back,23,7,France,Paris Saint-Germain,France,RC Strasbourg Alsace,loan transfer
Left-Back,26,7,France,Stade Reims,Saudi Arabia,Al-Nassr Riad,free transfer
Goalkeeper,27,7,Italy,SS Lazio,England,Brentford FC,free transfer
Left Winger,22,7,Spain,Atlético de Madrid,Spain,Valencia CF,loan transfer
Central Midfield,22,7,Spain,FC Barcelona,United States,Los Angeles Galaxy,free transfer
Left Winger,25,7,Mexico,Tigres UANL,Brazil,Santos FC,loan transfer
Centre-Forward,29,7,England,Nottingham Forest,Greece,Olympiacos Piraeus,loan transfer
Centre-Back,28,7,England,Southampton FC,England,AFC Bournemouth,loan transfer
Centre-Back,29,7,Germany,VfL Wolfsburg,Portugal,SL Benfica,free transfer
Defensive Midfield,20,7,Italy,Inter Milan,France,ESTAC Troyes,loan transfer
Defensive Midfield,24,7,Spain,Valencia CF,Portugal,SC Braga,loan transfer
Left Winger,26,7,England,Chelsea FC,Spain,Real Valladolid CF,?
Centre-Forward,29,3,Colombia,Junior FC,Argentina,CA River Plate,6
Right Winger,18,6,Brazil,Clube Atlético Mineiro,France,ESTAC Troyes,6
Centre-Forward,27,6,Belgium,KRC Genk,Italy,US Cremonese,6
Centre-Back,27,5,England,Watford FC,Mexico,Tigres UANL,6
Central Midfield,23,6,Portugal,SL Benfica,Turkey,Besiktas JK,6
Right Winger,26,6,Portugal,Boavista FC,France,FC Girondins Bordeaux,6
Left-Back,21,6,Turkey,Besiktas JK,Scotland,Rangers FC,4
Centre-Forward,24,6,Egypt,Zamalek SC,Turkey,Galatasaray A.S.,3
Centre-Back,24,6,Italy,Inter Milan,France,Stade Reims,3
Attacking Midfield,21,6,Argentina,CA Newell's Old Boys,Belgium,KRC Genk,3
Defensive Midfield,28,6,Italy,ACF Fiorentina,Brazil,Clube de Regatas do Flamengo,2
Centre-Forward,24,6,Turkey,Galatasaray A.S.,France,FC Nantes,0.25
Centre-Back,27,6,Germany,Hertha BSC,Germany,SV Werder Bremen,free transfer
Right Winger,28,6,England,Millwall FC,England,West Bromwich Albion,free transfer
Attacking Midfield,32,6,France,Montpellier HSC,France,LOSC Lille,free transfer
Defensive Midfield,25,6,Germany,Hertha BSC,Italy,US Cremonese,loan transfer
Defensive Midfield,25,5,Switzerland,BSC Young Boys,Russia,Spartak Moscow,6
Goalkeeper,28,5,United States,New England Revolution,England,Arsenal FC,6
Left-Back,19,3,Netherlands,FC Groningen,Belgium,Club Brugge KV,6
Centre-Forward,23,5,Ukraine,Shakhtar Donetsk,Austria,Red Bull Salzburg,6
Centre-Back,21,0.5,Spain,Real Madrid Castilla,Italy,SS Lazio,6
Defensive Midfield,22,6,Argentina,AA Argentinos Juniors,Brazil,Sport Club Corinthians Paulista,6
Central Midfield,20,0.8,Argentina,AA Argentinos Juniors,Belgium,KRC Genk,6
Centre-Back,24,4,Czech Republic,AC Sparta Prague,Netherlands,Feyenoord Rotterdam,6
Centre-Forward,19,6,Italy,AS Roma,Italy,US Cremonese,6
Attacking Midfield,25,6,Denmark,FC Copenhagen,Greece,Olympiacos Piraeus,6
Centre-Forward,31,6,England,Crystal Palace,United States,D.C. United,5
Centre-Forward,28,6,Saudi Arabia,Al-Nassr Riad,Mexico,CF América,5
Right-Back,25,6,Portugal,Sporting CP,Turkey,Besiktas JK,4
Centre-Back,23,6,Sweden,Malmö FF,England,Sheffield United,4
Right Winger,31,6,Italy,FC Crotone,Italy,AC Milan,4
Left Winger,24,6,Germany,Hertha BSC,Netherlands,Feyenoord Rotterdam,4
Left-Back,21,6,Spain,Real Madrid,Spain,Girona FC,4
Left Winger,25,6,Spain,RCD Espanyol Barcelona,China,Shanghai Port,4
Left Winger,29,6,Spain,Granada CF,Mexico,FC Juárez,3
Centre-Forward,21,6,Russia,FK Ufa,Russia,Akhmat Grozny,3
Central Midfield,28,6,Netherlands,AZ Alkmaar,Turkey,Galatasaray A.S.,3
Right Winger,21,6,Portugal,Sporting CP,Spain,Real Valladolid CF,3
Centre-Back,31,6,England,Wolverhampton Wanderers,England,Nottingham Forest,2
Goalkeeper,24,6,Italy,ACF Fiorentina,Italy,Spezia Calcio,2
Centre-Back,28,6,England,Manchester United,France,Olympique Marseille,2
Central Midfield,33,6,Spain,Atlético de Madrid,Denmark,Bröndby IF,1
Defensive Midfield,25,6,Italy,AS Roma,Belgium,RSC Anderlecht,1
Centre-Back,31,6,Spain,Real Betis Balompié,Turkey,Trabzonspor,1
Centre-Forward,21,6,Italy,Pisa Sporting Club,Netherlands,Ajax Amsterdam,1
Right Winger,24,6,Italy,AS Roma,Spain,Celta de Vigo,1
Attacking Midfield,30,6,France,Montpellier HSC,Germany,FC Schalke 04,0.5
Centre-Forward,26,6,France,Olympique Lyon,Spain,RCD Mallorca,0.4
Centre-Forward,24,6,Turkey,Fenerbahce SK,Germany,FC Augsburg,0.3
Centre-Forward,33,6,Russia,Zenit St. Petersburg,Turkey,Adana Demirspor,free transfer
Centre-Back,25,6,Russia,Rubin Kazan,Germany,Hertha BSC,free transfer
Defensive Midfield,28,6,France,FC Girondins Bordeaux,Brazil,Clube Atlético Mineiro,free transfer
Left Winger,27,6,Netherlands,PSV Eindhoven,Turkey,Fenerbahce SK,loan transfer
Right-Back,20,6,England,Wolverhampton Wanderers,Netherlands,PSV Eindhoven,loan transfer
Goalkeeper,29,6,Germany,Arminia Bielefeld,England,Manchester City,free transfer
Centre-Forward,24,6,Germany,SC Freiburg,Germany,FC Augsburg,free transfer
Centre-Forward,22,6,England,Brighton & Hove Albion,Italy,Venezia FC,loan transfer
Goalkeeper,27,6,England,Manchester City,England,Middlesbrough FC,loan transfer
Left Winger,20,6,France,Olympique Marseille,Brazil,Botafogo de Futebol e Regatas,loan transfer
Right Winger,18,6,France,ESTAC Troyes,Netherlands,PSV Eindhoven,loan transfer
Centre-Back,22,6,Spain,Atlético de Madrid,Italy,Udinese Calcio,?
Centre-Back,23,6,Spain,FC Barcelona,Spain,Celta de Vigo,free transfer
Right Midfield,26,6,Italy,Inter Milan,Italy,Torino FC,loan transfer
Left Winger,20,6,Netherlands,Ajax Amsterdam,Denmark,FC Copenhagen,loan transfer
Left Winger,21,6,France,Olympique Marseille,Greece,Olympiacos Piraeus,loan transfer
Centre-Forward,26,6,England,Sheffield United,Germany,VfL Bochum,free transfer
Centre-Back,24,6,Germany,VfL Wolfsburg,Italy,US Lecce,loan transfer
Central Midfield,24,6,France,AS Saint-Étienne,France,Stade Brestois 29,loan transfer
Attacking Midfield,19,6,England,Manchester United,England,Birmingham City,loan transfer
Attacking Midfield,24,6,France,OGC Nice,France,RC Lens,loan transfer
Left-Back,28,6,France,Olympique Marseille,Spain,Getafe CF,loan transfer
Centre-Forward,31,6,Spain,FC Barcelona,Spain,RCD Espanyol Barcelona,free transfer
Left Winger,27,6,England,West Bromwich Albion,Wales,Cardiff City,?
Attacking Midfield,20,6,France,AS Saint-Étienne,France,FC Lorient,free transfer
Centre-Forward,25,3,Belgium,RSC Charleroi,England,Watford FC,5
Central Midfield,18,-,England,Manchester City U21,England,Leeds United,5
Left Winger,29,3,Mexico,Club León FC,Mexico,Deportivo Toluca,5
Centre-Forward,25,3,Italy,SSC Napoli,Italy,Parma Calcio 1913,5
Centre-Forward,28,2,Mexico,CF Monterrey,Belgium,Royal Antwerp FC,5
Centre-Back,19,5,France,AC Le Havre,France,Olympique Marseille,5
Central Midfield,28,5,Belgium,Royale Union Saint Gilloise,Belgium,Club Brugge KV,5
Left-Back,30,5,Spain,Elche CF,Spain,Villarreal CF,5
Central Midfield,23,5,Germany,Hertha BSC,Germany,FC Augsburg,5
Attacking Midfield,27,5,Romania,FCSB,United Arab Emirates,Al-Jazira (Abu Dhabi),3
Right-Back,31,5,Italy,AS Roma,Italy,AC Milan,2
Left Winger,23,5,Russia,Rubin Kazan,Scotland,Celtic FC,2
Right Winger,26,5,Argentina,CA Boca Juniors,Brazil,Clube Atlético Mineiro,free transfer
Left Winger,25,3,Saudi Arabia,Al-Ahli Saudi FC,Saudi Arabia,Al-Nassr Riad,5
Centre-Forward,34,3,Germany,1. FC Köln,Germany,Borussia Dortmund,5
Attacking Midfield,19,3,Spain,Racing Santander,Spain,FC Barcelona Atlètic,5
Centre-Forward,24,5,Portugal,Boavista FC,Portugal,SL Benfica,5
Centre-Forward,23,3,Spain,FC Barcelona Atlètic,Belgium,Club Brugge KV,5
Central Midfield,18,5,Sweden,Hammarby IF,Spain,Celta de Vigo,5
Defensive Midfield,22,3,France,Clermont Foot 63,France,RC Lens,5
Centre-Forward,27,3,Greece,Aris Thessaloniki,Greece,Olympiacos Piraeus,5
Centre-Forward,21,4,Monaco,AS Monaco,Italy,Torino FC,5
Centre-Back,25,5,England,Manchester City,Germany,Borussia Mönchengladbach,5
Goalkeeper,28,2,England,Nottingham Forest,France,RC Lens,5
Left-Back,22,3,France,LOSC Lille,Italy,US Salernitana 1919,5
Centre-Forward,27,5,Italy,Venezia FC,Italy,Hellas Verona,5
Left Winger,19,1,Romania,FC Rapid 1923,France,OGC Nice,5
Left-Back,28,3,England,Watford FC,Italy,Udinese Calcio,5
Centre-Back,22,5,England,Brighton & Hove Albion,Italy,SSC Napoli,5
Central Midfield,27,5,Spain,Granada CF,Spain,Getafe CF,5
Centre-Forward,25,5,Italy,UC Sampdoria,Italy,US Salernitana 1919,5
Central Midfield,22,3,Germany,Hertha BSC,Belgium,Royal Antwerp FC,5
Right Winger,25,4,Portugal,Sporting CP,Brazil,Sociedade Esportiva Palmeiras,5
Right-Back,24,5,Mexico,CF América,Netherlands,Ajax Amsterdam,5
Left Winger,22,0.8,Brazil,Coritiba Foot Ball Club,Netherlands,Feyenoord Rotterdam,5
Right-Back,18,5,Scotland,Aberdeen FC,England,Liverpool FC,4
Centre-Forward,23,5,France,RC Lens,France,FC Nantes,4
Centre-Forward,24,5,Czech Republic,SK Slavia Prague,Portugal,Boavista FC,4
Defensive Midfield,19,5,France,SM Caen,France,Olympique Lyon,4
Centre-Forward,25,5,Russia,Spartak Moscow,Spain,Elche CF,4
Centre-Back,21,5,Italy,Cagliari Calcio,Italy,AC Monza,4
Defensive Midfield,22,5,France,FC Girondins Bordeaux,France,RC Lens,4
Centre-Back,24,5,Germany,VfL Bochum,Germany,1.FSV Mainz 05,3
Defensive Midfield,25,5,Portugal,FC Paços de Ferreira,Portugal,FC Porto,3
Attacking Midfield,23,5,Portugal,CD Santa Clara,Turkey,Fenerbahce SK,3
Centre-Back,24,5,Germany,Hertha BSC,Belgium,KAA Gent,3
Centre-Back,28,5,Greece,Olympiacos Piraeus,Qatar,Al-Duhail SC,3
Centre-Forward,22,5,Belgium,Standard Liège,Turkey,Besiktas JK,3
Centre-Back,20,5,Croatia,HNK Hajduk Split,Germany,Hamburger SV,3
Right-Back,24,5,Germany,VfB Stuttgart,Spain,RCD Mallorca,3
Central Midfield,26,5,Belgium,RSC Anderlecht,England,Burnley FC,3
Centre-Forward,25,5,France,RC Lens,Portugal,SC Braga,3
Centre-Forward,31,5,Spain,Levante UD,Spain,Elche CF,3
Centre-Forward,23,5,Belgium,KRC Genk,France,ESTAC Troyes,3
Centre-Back,27,5,Turkey,Konyaspor,Turkey,Galatasaray A.S.,2
Centre-Forward,25,5,Mexico,Tigres UANL,Mexico,Atlas Guadalajara,2
Central Midfield,27,5,Russia,FK Krasnodar,Spain,RCD Espanyol Barcelona,2
Central Midfield,29,5,England,Norwich City,France,Stade Brestois 29,2
Right Midfield,28,5,France,Angers SCO,France,RC Lens,2
Centre-Forward,25,5,France,FC Lorient,Turkey,Trabzonspor,2
Centre-Back,23,5,France,Olympique Marseille,France,RC Strasbourg Alsace,1
Central Midfield,28,5,Germany,Eintracht Frankfurt,Germany,1.FSV Mainz 05,1
Centre-Forward,25,5,Russia,Lokomotiv Moscow,Czech Republic,AC Sparta Prague,1
Left Winger,25,5,Greece,Olympiacos Piraeus,Turkey,Adana Demirspor,1
Central Midfield,27,5,United States,Colorado Rapids,Canada,Toronto FC,0.955
Centre-Back,27,5,Belgium,Club Brugge KV,Italy,US Cremonese,0.6
Left-Back,28,5,Spain,Sevilla FC,England,Aston Villa,0.5
Goalkeeper,30,5,Spain,Real Sociedad,Denmark,FC Copenhagen,0.5
Central Midfield,27,5,Spain,RCD Espanyol Barcelona,Italy,US Salernitana 1919,0.3
Central Midfield,32,5,Spain,Atlético de Madrid,United States,Houston Dynamo FC,free transfer
Centre-Back,24,5,Germany,Arminia Bielefeld,Germany,SV Werder Bremen,free transfer
Left Winger,33,5,Turkey,Trabzonspor,Saudi Arabia,Al-Fayha FC,free transfer
Centre-Forward,32,5,Spain,Deportivo Alavés,Spain,RCD Espanyol Barcelona,free transfer
Right Winger,26,5,Russia,Spartak Moscow,Russia,Zenit St. Petersburg,free transfer
Defensive Midfield,33,5,England,Manchester United,Italy,AS Roma,free transfer
Left Winger,32,5,Qatar,Al-Rayyan SC,Qatar,Al-Gharafa SC,free transfer
Right-Back,30,5,Spain,Atlético de Madrid,Greece,Olympiacos Piraeus,free transfer
Goalkeeper,33,5,Italy,SSC Napoli,Saudi Arabia,Al-Nassr Riad,free transfer
Centre-Forward,20,5,Italy,Inter Milan,Belgium,RSC Anderlecht,loan transfer
Central Midfield,30,5,England,Fulham FC,England,Hull City,free transfer
Left Winger,28,5,England,Derby County,Scotland,Rangers FC,free transfer
Central Midfield,30,5,England,Newcastle United,England,Reading FC,loan transfer
Centre-Back,28,5,Canada,Toronto FC,Mexico,FC Juárez,free transfer
Goalkeeper,31,5,Monaco,AS Monaco,Spain,RCD Espanyol Barcelona,loan transfer
Left-Back,22,5,Italy,Juventus FC,Italy,Bologna FC 1909,loan transfer
Left-Back,20,5,England,Chelsea FC U21,England,Burnley FC,loan transfer
Central Midfield,31,5,China,Shanghai Port,Scotland,Celtic FC,free transfer
Right-Back,24,5,Germany,1.FSV Mainz 05,France,RC Strasbourg Alsace,loan transfer
Right-Back,20,5,England,Manchester City,Spain,Girona FC,loan transfer
Left-Back,23,5,Portugal,Sporting CP,England,Everton FC,loan transfer
Attacking Midfield,31,5,Brazil,Santos FC,Brazil,Esporte Clube Bahia,free transfer
Central Midfield,25,5,Netherlands,Vitesse Arnhem,Netherlands,AZ Alkmaar,free transfer
Left-Back,28,5,England,West Ham United,Turkey,Besiktas JK,loan transfer
Centre-Back,30,5,England,Brighton & Hove Albion,England,Fulham FC,loan transfer
Centre-Back,19,5,England,Chelsea FC U21,England,Brighton & Hove Albion,loan transfer
Central Midfield,24,5,Italy,AS Roma,Italy,UC Sampdoria,loan transfer
Goalkeeper,30,5,Spain,Deportivo Alavés,Spain,UD Almería,free transfer
Centre-Back,28,5,England,Arsenal FC,Italy,AC Monza,loan transfer
Central Midfield,28,5,Portugal,SL Benfica,Brazil,Botafogo de Futebol e Regatas,loan transfer
Defensive Midfield,22,5,Spain,Real Madrid,Spain,Cádiz CF,loan transfer
Central Midfield,21,5,France,Paris Saint-Germain,Germany,Eintracht Frankfurt,loan transfer
Centre-Forward,21,5,England,Fulham FC,England,Middlesbrough FC,loan transfer
Left-Back,24,5,Italy,Parma Calcio 1913,Italy,US Lecce,loan transfer
Centre-Back,20,5,England,Liverpool FC,Germany,FC Schalke 04,loan transfer
Right Winger,25,5,France,FC Girondins Bordeaux,Italy,US Lecce,loan transfer
Defensive Midfield,30,5,England,Southampton FC,Spain,Girona FC,?
Attacking Midfield,30,5,Italy,Torino FC,Italy,Hellas Verona,loan transfer
Left-Back,29,5,France,Paris Saint-Germain,England,Fulham FC,loan transfer
Centre-Back,22,5,Italy,Cagliari Calcio,Italy,FC Empoli,loan transfer
Central Midfield,28,5,Portugal,SL Benfica,Italy,US Cremonese,loan transfer
Left Winger,21,5,Spain,Atlético de Madrid,Spain,CD Mirandés,loan transfer
Centre-Back,23,5,England,Brentford FC,France,OGC Nice,loan transfer
Attacking Midfield,29,4,United Arab Emirates,Al-Nasr SC (UAE),Turkey,Sivasspor,free transfer
Centre-Forward,27,2,Ecuador,LDU Quito,Mexico,CF Monterrey,4
Defensive Midfield,24,4,Turkey,Trabzonspor,Saudi Arabia,Ettifaq FC,2
Attacking Midfield,26,3,Germany,FC St. Pauli,Germany,SC Freiburg,4
Centre-Forward,25,4,Russia,FC Sochi,Russia,Zenit St. Petersburg,4
Centre-Back,26,3,Italy,SS Lazio,Denmark,FC Copenhagen,4
Centre-Forward,21,2,Turkey,Fenerbahce SK,England,Hull City,4
Central Midfield,18,3,Turkey,Besiktas JK,Italy,Torino FC,4
Central Midfield,26,4,Spain,SD Eibar,Spain,RCD Espanyol Barcelona,4
Central Midfield,20,3,Greece,Panathinaikos Athens,Portugal,Sporting CP,4
Defensive Midfield,24,4,France,RC Lens,Norway,FK Bodø/Glimt,4
Centre-Back,20,4,Argentina,CA Boca Juniors,Belgium,Royal Antwerp FC,4
Second Striker,21,4,Germany,SpVgg Greuther Fürth,Germany,1.FC Union Berlin,4
Centre-Forward,28,4,Portugal,Sporting CP,Greece,Panathinaikos Athens,3
Centre-Back,22,4,Germany,1.FSV Mainz 05,Germany,1. FC Köln,2
Central Midfield,32,4,England,Watford FC,France,FC Nantes,2
Attacking Midfield,21,4,Argentina,CD Godoy Cruz Antonio Tomba,Netherlands,Feyenoord Rotterdam,2
Goalkeeper,26,4,Italy,Benevento Calcio,Italy,Hellas Verona,1
Centre-Forward,31,4,Greece,Olympiacos Piraeus,Brazil,Botafogo de Futebol e Regatas,1
Centre-Back,29,4,Scotland,Celtic FC,France,Montpellier HSC,1
Centre-Back,23,4,Japan,Júbilo Iwata,Germany,VfB Stuttgart,0.4
Centre-Forward,23,4,Mexico,Atlético de San Luis,Mexico,CF Monterrey,free transfer
Attacking Midfield,20,4,Brazil,Santos FC,Brazil,Cuiabá Esporte Clube (MT),loan transfer
Centre-Forward,25,4,England,Sheffield United,Germany,SV Werder Bremen,free transfer
Centre-Forward,28,4,Germany,FC Augsburg,Germany,SC Freiburg,free transfer
Defensive Midfield,23,4,Belgium,Lommel SK,Spain,RCD Espanyol Barcelona,loan transfer
Right-Back,25,4,France,Montpellier HSC,Italy,US Salernitana 1919,free transfer
Centre-Forward,24,4,Belgium,Club Brugge KV,Italy,US Cremonese,?
Left Winger,28,4,Ukraine,Dynamo Kyiv,Greece,Panathinaikos Athens,free transfer
Centre-Forward,28,4,United Arab Emirates,Al-Wahda FC Abu Dhabi,United Arab Emirates,FC Shabab Al-Ahli Dubai,loan transfer
Central Midfield,27,4,Italy,Parma Calcio 1913,Switzerland,FC Sion,loan transfer
Left Winger,29,4,United Arab Emirates,Sharjah Cultural Sports Club,Greece,Panathinaikos Athens,free transfer
Centre-Back,24,4,Argentina,Club Estudiantes de La Plata,Germany,Hertha BSC,?
Attacking Midfield,24,4,France,Stade Reims,France,Paris FC,loan transfer
Attacking Midfield,28,4,Turkey,Fenerbahce SK,England,Hull City,loan transfer
Centre-Back,22,4,Germany,Borussia Mönchengladbach,England,Burnley FC,loan transfer
Left-Back,21,3,Argentina,Club Atlético Lanús,Scotland,Celtic FC,4
Centre-Forward,26,3,Argentina,Club Estudiantes de La Plata,Mexico,UNAM Pumas,4
Central Midfield,21,4,Germany,FC Schalke 04,Netherlands,FC Utrecht,0.5
Right Winger,21,1,Chile,CSD Colo Colo,Argentina,CA River Plate,4
Centre-Back,21,1,Uruguay,Club Nacional,Russia,Dynamo Moscow,4
Centre-Back,29,4,Italy,Bologna FC 1909,Turkey,Trabzonspor,free transfer
Centre-Forward,23,2,Italy,US Sassuolo,Netherlands,AZ Alkmaar,4
Left Winger,24,3,Sweden,Malmö FF,France,FC Toulouse,4
Left Winger,22,4,United States,Los Angeles FC,Mexico,CF América,5
Central Midfield,23,2,Italy,Atalanta BC,Italy,Genoa CFC,4
Central Midfield,25,3,Switzerland,BSC Young Boys,Italy,Bologna FC 1909,4
Goalkeeper,24,3,Italy,Inter Milan,Italy,AC Monza,4
Centre-Forward,25,3,Belgium,KV Mechelen,Belgium,KAA Gent,4
Centre-Back,22,3,Italy,Atalanta BC,Croatia,GNK Dinamo Zagreb,4
Central Midfield,25,3,Denmark,FC Copenhagen,Germany,SV Werder Bremen,4
Centre-Back,23,3,Russia,CSKA Moscow,Italy,Udinese Calcio,4
Left Winger,23,4,Turkey,Antalyaspor,England,Hull City,4
Left-Back,23,2,France,Angers SCO,Italy,Udinese Calcio,4
Centre-Forward,21,4,Mexico,CD Cruz Azul,Netherlands,Feyenoord Rotterdam,4
Right Winger,25,3,Belgium,Royal Antwerp FC,England,Burnley FC,4
Attacking Midfield,24,3,Portugal,GD Estoril Praia,Portugal,FC Porto,4
Left Winger,19,2,France,FC Sochaux-Montbéliard,France,LOSC Lille,4
Centre-Back,21,0.8,Colombia,Atlético Nacional,Italy,Hellas Verona,4
Left Winger,21,1,Belgium,RSC Charleroi,England,Burnley FC,4
Left Winger,24,1,Portugal,GD Estoril Praia,Portugal,Sporting CP,4
Defensive Midfield,27,4,Portugal,CD Santa Clara,Portugal,Sporting CP,3
Defensive Midfield,24,4,Belgium,Royal Antwerp FC,Italy,Hellas Verona,3
Centre-Forward,23,4,England,Brentford FC,England,Middlesbrough FC,3
Centre-Forward,29,4,Mexico,Tigres UANL,Mexico,Deportivo Toluca,3
Central Midfield,23,4,Russia,CSKA Moscow,Italy,US Salernitana 1919,3
Right-Back,23,4,Spain,Sevilla FC,Spain,UD Almería,3
Centre-Back,30,4,Spain,Celta de Vigo,Mexico,CF América,3
Centre-Forward,31,4,Spain,Sevilla FC,Netherlands,PSV Eindhoven,3
Right Winger,21,4,Germany,FC Schalke 04,Scotland,Rangers FC,3
Centre-Forward,28,4,Uruguay,Club Deportivo Maldonado,Brazil,São Paulo Futebol Clube,2
Goalkeeper,33,4,England,Newcastle United,England,Manchester United,2
Central Midfield,28,4,Spain,Levante UD,Spain,UD Almería,1
Right-Back,25,4,Mexico,UNAM Pumas,Mexico,Deportivo Guadalajara,1
Central Midfield,24,4,Germany,VfL Wolfsburg,Germany,FC Augsburg,1
Defensive Midfield,23,4,Netherlands,PSV Eindhoven,Netherlands,Twente Enschede FC,1
Goalkeeper,34,4,Portugal,FC Porto,Spain,Celta de Vigo,1
Goalkeeper,35,4,England,Leicester City,France,OGC Nice,1
Central Midfield,23,4,France,AS Saint-Étienne,Portugal,FC Famalicão,1
Centre-Back,27,4,France,FC Metz,Italy,US Salernitana 1919,1
Centre-Forward,31,4,Argentina,CA River Plate,Brazil,Sport Club Internacional,0.9
Central Midfield,21,4,Germany,RB Leipzig,Germany,FC Schalke 04,0.5
Centre-Back,23,4,Italy,Genoa CFC,Italy,US Cremonese,0.5
Right-Back,27,4,Portugal,Vitória Guimarães SC,France,Montpellier HSC,0.5
Central Midfield,26,4,United Arab Emirates,Sharjah Cultural Sports Club,Turkey,Fatih Karagümrük,0.42
Goalkeeper,24,4,Spain,SD Huesca,Spain,RCD Espanyol Barcelona,0.4
Centre-Forward,26,4,Brazil,Fortaleza Esporte Clube,"Korea, South",Daejeon Hana Citizen,0.2
Centre-Forward,20,4,Germany,VfL Wolfsburg,Netherlands,Vitesse Arnhem,0.2
Central Midfield,26,4,Spain,Athletic Bilbao,Spain,Rayo Vallecano,free transfer
Centre-Back,22,4,France,OGC Nice,Switzerland,FC Basel 1893,?
Right Winger,21,4,France,OGC Nice,Switzerland,FC Basel 1893,?
Centre-Back,24,4,Netherlands,Vitesse Arnhem,Germany,1.FC Union Berlin,free transfer
Left Winger,24,4,France,AS Saint-Étienne,France,Montpellier HSC,free transfer
Centre-Forward,23,4,Netherlands,Ajax Amsterdam,Netherlands,Feyenoord Rotterdam,free transfer
Centre-Forward,35,4,England,Manchester United,Spain,Valencia CF,free transfer
Central Midfield,27,4,Turkey,Hatayspor,England,Hull City,free transfer
